sample_name,sample_id,container_id,position,grid_position,plate_id,tray,grouping_var
P001_A,220000,40012,1,A1,90020,Y,A
P002_A,220001,40012,2,A2,90020,Y,A
P003_A,220002,40012,3,A3,90020,Y,A
P004_A,220003,40012,4,A4,90020,Y,A
P005_A,220004,40012,5,A5,90020,Y,A
P006_A,220005,40012,6,A6,90020,Y,A
P013_B,220012,40012,7,A7,90020,Y,B
P014_B,220013,40012,8,A8,90020,Y,B
P015_B,220014,40012,9,A9,90020,Y,B
P016_B,220015,40012,10,A10,90020,Y,B
P017_B,220016,40012,11,A11,90020,Y,B
P023_C,220022,40012,12,A12,90020,Y,C
P024_C,220023,40012,13,B1,90020,Y,C
P025_C,220024,40012,14,B2,90020,Y,C
P026_C,220025,40012,15,B3,90020,Y,C
P031_D,220030,40012,16,B4,90020,Y,D
P032_D,220031,40012,17,B5,90020,Y,D
P033_D,220032,40012,18,B6,90020,Y,D
P037_E,220036,40012,19,B7,90020,Y,E
P038_E,220037,40012,20,B8,90020,Y,E
P041_F,220040,40012,21,B9,90020,Y,F
P007_A,220006,40012,1,A1,90021,R,A
P008_A,220007,40012,2,A2,90021,R,A
P009_A,220008,40012,3,A3,90021,R,A
P010_A,220009,40012,4,A4,90021,R,A
P011_A,220010,40012,5,A5,90021,R,A
P012_A,220011,40012,6,A6,90021,R,A
P018_B,220017,40012,7,A7,90021,R,B
P019_B,220018,40012,8,A8,90021,R,B
P020_B,220019,40012,9,A9,90021,R,B
P021_B,220020,40012,10,A10,90021,R,B
P022_B,220021,40012,11,A11,90021,R,B
P027_C,220026,40012,12,A12,90021,R,C
P028_C,220027,40012,13,B1,90021,R,C
P029_C,220028,40012,14,B2,90021,R,C
P030_C,220029,40012,15,B3,90021,R,C
P034_D,220033,40012,16,B4,90021,R,D
P035_D,220034,40012,17,B5,90021,R,D
P036_D,220035,40012,18,B6,90021,R,D
P039_E,220038,40012,19,B7,90021,R,E
P040_E,220039,40012,20,B8,90021,R,E
P042_F,220041,40012,21,B9,90021,R,F
