sample_name,sample_id,container_id,position,grid_position,plate_id,tray,grouping_var
P01_A,200001,40001,1,A1,90001,"",A
P02_A,200002,40001,2,A2,90001,"",A
P03_A,200003,40001,3,A3,90001,"",A
P04_A,200004,40001,4,A4,90001,"",A
P05_A,200005,40001,5,A5,90001,"",A
P06_B,200006,40001,6,A6,90001,"",B
P07_B,200007,40001,7,A7,90001,"",B
P08_B,200008,40001,8,A8,90001,"",B
P09_B,200009,40001,9,A9,90001,"",B
P10_B,200010,40001,10,A10,90001,"",B
P11_C,200011,40001,11,A11,90001,"",C
P12_C,200012,40001,12,A12,90001,"",C
P13_C,200013,40001,13,B1,90001,"",C
P14_C,200014,40001,14,B2,90001,"",C
P15_C,200015,40001,15,B3,90001,"",C
P16_D,200016,40001,16,B4,90001,"",D
P17_D,200017,40001,17,B5,90001,"",D
P18_D,200018,40001,18,B6,90001,"",D
P19_D,200019,40001,19,B7,90001,"",D
P20_D,200020,40001,20,B8,90001,"",D
P21_E,200021,40001,21,B9,90001,"",E
P22_E,200022,40001,22,B10,90001,"",E
P23_E,200023,40001,23,B11,90001,"",E
P24_E,200024,40001,24,B12,90001,"",E
P25_E,200025,40001,25,C1,90001,"",E
