sample_name,sample_id,tube_id,container_id,grouping_var
S001_A,110000,40010/1,40010,A
S002_A,110001,40010/2,40010,A
S003_A,110002,40010/3,40010,A
S004_A,110003,40010/4,40010,A
S005_A,110004,40010/5,40010,A
S006_A,110005,40010/6,40010,A
S007_A,110006,40010/7,40010,A
S008_A,110007,40010/8,40010,A
S009_A,110008,40010/9,40010,A
S010_A,110009,40010/10,40010,A
S011_B,110010,40010/11,40010,B
S012_B,110011,40010/12,40010,B
S013_B,110012,40010/13,40010,B
S014_B,110013,40010/14,40010,B
S015_B,110014,40010/15,40010,B
S016_B,110015,40010/16,40010,B
S017_B,110016,40010/17,40010,B
S018_B,110017,40010/18,40010,B
S019_B,110018,40010/19,40010,B
S020_B,110019,40010/20,40010,B
S021_C,110020,40010/21,40010,C
S022_C,110021,40010/22,40010,C
S023_C,110022,40010/23,40010,C
S024_C,110023,40010/24,40010,C
S025_C,110024,40010/25,40010,C
S026_C,110025,40010/26,40010,C
S027_C,110026,40010/27,40010,C
S028_C,110027,40010/28,40010,C
S029_C,110028,40010/29,40010,C
S030_C,110029,40010/30,40010,C
S031_D,110030,40010/31,40010,D
S032_D,110031,40010/32,40010,D
S033_D,110032,40010/33,40010,D
S034_D,110033,40010/34,40010,D
S035_D,110034,40010/35,40010,D
S036_D,110035,40010/36,40010,D
S037_D,110036,40010/37,40010,D
S038_D,110037,40010/38,40010,D
S039_D,110038,40010/39,40010,D
S040_D,110039,40010/40,40010,D
S041_E,110040,40010/41,40010,E
S042_E,110041,40010/42,40010,E
S043_E,110042,40010/43,40010,E
S044_E,110043,40010/44,40010,E
S045_E,110044,40010/45,40010,E
S046_E,110045,40010/46,40010,E
S047_E,110046,40010/47,40010,E
S048_E,110047,40010/48,40010,E
S049_E,110048,40010/49,40010,E
S050_E,110049,40010/50,40010,E
S051_F,110050,40010/51,40010,F
S052_F,110051,40010/52,40010,F
S053_F,110052,40010/53,40010,F
S054_F,110053,40010/54,40010,F
S055_F,110054,40010/55,40010,F
S056_F,110055,40010/56,40010,F
S057_F,110056,40010/57,40010,F
S058_F,110057,40010/58,40010,F
S059_F,110058,40010/59,40010,F
S060_F,110059,40010/60,40010,F
S061_G,110060,40010/61,40010,G
S062_G,110061,40010/62,40010,G
S063_G,110062,40010/63,40010,G
S064_G,110063,40010/64,40010,G
S065_G,110064,40010/65,40010,G
S066_G,110065,40010/66,40010,G
S067_G,110066,40010/67,40010,G
S068_G,110067,40010/68,40010,G
S069_G,110068,40010/69,40010,G
S070_G,110069,40010/70,40010,G
S071_H,110070,40010/71,40010,H
S072_H,110071,40010/72,40010,H
S073_H,110072,40010/73,40010,H
S074_H,110073,40010/74,40010,H
S075_H,110074,40010/75,40010,H
S076_H,110075,40010/76,40010,H
S077_H,110076,40010/77,40010,H
S078_H,110077,40010/78,40010,H
S079_H,110078,40010/79,40010,H
S080_H,110079,40010/80,40010,H
