tech_area,instrument,methods_file,path_template
Proteomics,ASTRAL_1,methods/Proteomics/ASTRAL_1_methods.csv,D:\Data2San\p{container}\Proteomics\ASTRAL_1\{user}_{date}_{queue_name}
Proteomics,ASCEND_1,methods/Proteomics/ASCEND_1_methods.csv,D:\Data2San\p{container}\Proteomics\ASCEND_1\{user}_{date}_{queue_name}
Proteomics,EXPLORIS_1,methods/Proteomics/EXPLORIS_1_methods.csv,D:\Data2San\p{container}\Proteomics\EXPLORIS_1\{user}_{date}_{queue_name}
Proteomics,EXPLORIS_2,methods/Proteomics/EXPLORIS_2_methods.csv,D:\Data2San\p{container}\Proteomics\EXPLORIS_2\{user}_{date}_{queue_name}
Proteomics,EXPLORIS_5,methods/Proteomics/EXPLORIS_5_methods.csv,D:\Data2San\p{container}\Proteomics\EXPLORIS_5\{user}_{date}_{queue_name}
Proteomics,LUMOS_2,methods/Proteomics/LUMOS_2_methods.csv,D:\Data2San\p{container}\Proteomics\LUMOS_2\{user}_{date}_{queue_name}
Proteomics,QEXACTIVE_1,methods/Proteomics/QEXACTIVE_1_methods.csv,D:\Data2San\p{container}\Proteomics\QEXACTIVE_1\{user}_{date}_{queue_name}
Proteomics,TIMSTOFFLEX_1,methods/Proteomics/TIMSTOFFLEX_1_methods.csv,D:\Data2San\p{container}\Proteomics\TIMSTOFFLEX_1\{user}_{date}_{queue_name}
Proteomics,TIMSTOF_1,methods/Proteomics/TIMSTOF_1_methods.csv,D:\Data2San\p{container}\Proteomics\TIMSTOF_1\{user}_{date}_{queue_name}
Metabolomics,EXPLORIS_3,methods/Metabolomics/EXPLORIS_3_methods.csv,D:\Data2San\p{container}\Metabolomics\EXPLORIS_3\{user}_{date}_{queue_name}
Metabolomics,QEXACTIVEHF_2,methods/Metabolomics/QEXACTIVEHF_2_methods.csv,D:\Data2San\p{container}\Metabolomics\QEXACTIVEHF_2\{user}_{date}_{queue_name}
Metabolomics,QUANTIVA_1,methods/Metabolomics/QUANTIVA_1_methods.csv,D:\Data2San\p{container}\Metabolomics\QUANTIVA_1\{user}_{date}_{queue_name}
Lipidomics,EXPLORIS_3,methods/Lipidomics/EXPLORIS_3_methods.csv,D:\Data2San\p{container}\Metabolomics\EXPLORIS_3\{user}_{date}_{queue_name}
Lipidomics,EXPLORIS_4,methods/Lipidomics/EXPLORIS_4_methods.csv,D:\Data2San\p{container}\Metabolomics\EXPLORIS_4\{user}_{date}_{queue_name}
Lipidomics,QEXACTIVEHF_2,methods/Lipidomics/QEXACTIVEHF_2_methods.csv,D:\Data2San\p{container}\Metabolomics\QEXACTIVEHF_2\{user}_{date}_{queue_name}
Testing,ASTRAL_1,methods/Testing/ASTRAL_1_methods.csv,D:\Data2San\p{container}\Testing\ASTRAL_1\{user}_{date}_{queue_name}
