tech_area,qc_layout_name,plate_layout,sample_id,tray,row,col
# Proteomics - Vanquish_54 (vial mode, QC row F, plate B)
Proteomics,standard,Vanquish_54,QC01,B,F,9
Proteomics,standard,Vanquish_54,QC03dia,B,F,8
Proteomics,standard,Vanquish_54,QC03dda,B,F,8
Proteomics,standard,Vanquish_54,clean,B,F,7
# Proteomics - Plate_96 (plate mode, QC row H, plate B)
Proteomics,standard,Plate_96,QC01,B,H,9
Proteomics,standard,Plate_96,QC03dia,B,H,10
Proteomics,standard,Plate_96,QC03dda,B,H,10
Proteomics,standard,Plate_96,clean,B,H,1
# Proteomics - MClass_48 (QC row F, plate 1)
Proteomics,standard,MClass_48,QC01,1,F,8
Proteomics,standard,MClass_48,QC03dia,1,F,7
Proteomics,standard,MClass_48,QC03dda,1,F,7
Proteomics,standard,MClass_48,clean,1,F,6
# Metabolomics - Vanquish_54 (vial mode, QC row F, plate Y)
Metabolomics,standard,Vanquish_54,blank,Y,F,1
Metabolomics,standard,Vanquish_54,pooledQCDil1,Y,F,2
Metabolomics,standard,Vanquish_54,pooledQCDil2,Y,F,3
Metabolomics,standard,Vanquish_54,pooledQCDil3,Y,F,4
Metabolomics,standard,Vanquish_54,pooledQCDil4,Y,F,5
Metabolomics,standard,Vanquish_54,pooledQCDil5,Y,F,6
Metabolomics,standard,Vanquish_54,pooledQCDil6,Y,F,7
Metabolomics,standard,Vanquish_54,pooledQC,Y,F,8
Metabolomics,standard,Vanquish_54,108mix_AA,Y,F,9
Metabolomics,standard,Vanquish_54,108mix_OAP,Y,E,9
# Metabolomics - Plate_96 (plate mode, QC row H, plate Y)
Metabolomics,standard,Plate_96,blank,Y,H,1
Metabolomics,standard,Plate_96,pooledQCDil1,Y,H,2
Metabolomics,standard,Plate_96,pooledQCDil2,Y,H,3
Metabolomics,standard,Plate_96,pooledQCDil3,Y,H,4
Metabolomics,standard,Plate_96,pooledQCDil4,Y,H,5
Metabolomics,standard,Plate_96,pooledQCDil5,Y,H,6
Metabolomics,standard,Plate_96,pooledQCDil6,Y,H,7
Metabolomics,standard,Plate_96,pooledQC,Y,H,8
Metabolomics,standard,Plate_96,108mix_AA,Y,H,9
Metabolomics,standard,Plate_96,108mix_OAP,Y,H,10
# Lipidomics - Vanquish_54 (vial mode, QC row F, plate Y)
Lipidomics,standard,Vanquish_54,blank,Y,F,1
Lipidomics,standard,Vanquish_54,pooledQCDil1,Y,F,2
Lipidomics,standard,Vanquish_54,pooledQCDil2,Y,F,3
Lipidomics,standard,Vanquish_54,pooledQCDil3,Y,F,4
Lipidomics,standard,Vanquish_54,pooledQCDil4,Y,F,5
Lipidomics,standard,Vanquish_54,pooledQCDil5,Y,F,6
Lipidomics,standard,Vanquish_54,pooledQCDil6,Y,F,7
Lipidomics,standard,Vanquish_54,pooledQC,Y,F,8
Lipidomics,standard,Vanquish_54,EquiSPLASH,Y,F,9
# Lipidomics - Plate_96 (plate mode, QC row H, plate Y)
Lipidomics,standard,Plate_96,blank,Y,H,1
Lipidomics,standard,Plate_96,pooledQCDil1,Y,H,2
Lipidomics,standard,Plate_96,pooledQCDil2,Y,H,3
Lipidomics,standard,Plate_96,pooledQCDil3,Y,H,4
Lipidomics,standard,Plate_96,pooledQCDil4,Y,H,5
Lipidomics,standard,Plate_96,pooledQCDil5,Y,H,6
Lipidomics,standard,Plate_96,pooledQCDil6,Y,H,7
Lipidomics,standard,Plate_96,pooledQC,Y,H,8
Lipidomics,standard,Plate_96,EquiSPLASH,Y,H,9
