tech_area,sampler,sample_id,plate,row,col
# Proteomics - Vanquish vial (QC row F, plate B)
Proteomics,Vanquish.vial,QC01,B,F,9
Proteomics,Vanquish.vial,QC03dia,B,F,8
Proteomics,Vanquish.vial,QC03dda,B,F,8
Proteomics,Vanquish.vial,clean,B,F,7
# Proteomics - Vanquish plate (QC row H, plate B)
Proteomics,Vanquish.plate,QC01,B,H,9
Proteomics,Vanquish.plate,QC03dia,B,H,10
Proteomics,Vanquish.plate,QC03dda,B,H,10
Proteomics,Vanquish.plate,clean,B,H,1
# Proteomics - MClass48 vial (QC row F, plate 1)
Proteomics,MClass48.vial,QC01,1,F,8
Proteomics,MClass48.vial,QC03dia,1,F,7
Proteomics,MClass48.vial,QC03dda,1,F,7
Proteomics,MClass48.vial,clean,1,F,6
# Metabolomics - Vanquish vial (QC row F, plate Y)
Metabolomics,Vanquish.vial,blank,Y,F,1
Metabolomics,Vanquish.vial,pooledQCDil1,Y,F,2
Metabolomics,Vanquish.vial,pooledQCDil2,Y,F,3
Metabolomics,Vanquish.vial,pooledQCDil3,Y,F,4
Metabolomics,Vanquish.vial,pooledQCDil4,Y,F,5
Metabolomics,Vanquish.vial,pooledQCDil5,Y,F,6
Metabolomics,Vanquish.vial,pooledQCDil6,Y,F,7
Metabolomics,Vanquish.vial,pooledQC,Y,F,8
Metabolomics,Vanquish.vial,108mix_AA,Y,F,9
Metabolomics,Vanquish.vial,108mix_OAP,Y,E,9
# Lipidomics - Vanquish vial (QC row F, plate Y)
Lipidomics,Vanquish.vial,blank,Y,F,1
Lipidomics,Vanquish.vial,pooledQCDil1,Y,F,2
Lipidomics,Vanquish.vial,pooledQCDil2,Y,F,3
Lipidomics,Vanquish.vial,pooledQCDil3,Y,F,4
Lipidomics,Vanquish.vial,pooledQCDil4,Y,F,5
Lipidomics,Vanquish.vial,pooledQCDil5,Y,F,6
Lipidomics,Vanquish.vial,pooledQCDil6,Y,F,7
Lipidomics,Vanquish.vial,pooledQC,Y,F,8
Lipidomics,Vanquish.vial,EquiSPLASH,Y,F,9
