technology,instrument,queue_pattern,is_default
Proteomics,ASTRAL_1,standard,true
Proteomics,ASTRAL_1,frequent,false
Proteomics,ASTRAL_1,minimal,false
Proteomics,ASCEND_1,standard,true
Proteomics,ASCEND_1,frequent,false
Proteomics,ASCEND_1,dda,false
Proteomics,EXPLORIS_1,standard,true
Proteomics,EXPLORIS_1,frequent,false
Proteomics,EXPLORIS_1,dda,false
Proteomics,EXPLORIS_2,standard,true
Proteomics,EXPLORIS_2,frequent,false
Proteomics,EXPLORIS_2,dda,false
Proteomics,EXPLORIS_5,standard,true
Proteomics,EXPLORIS_5,frequent,false
Proteomics,EXPLORIS_5,dda,false
Proteomics,LUMOS_2,standard,true
Proteomics,LUMOS_2,frequent,false
Proteomics,LUMOS_2,dda,false
Proteomics,QEXACTIVE_1,standard,true
Proteomics,QEXACTIVE_1,simple,false
Proteomics,QEXACTIVE_1,minimal,false
Proteomics,TIMSTOFFLEX_1,standard,true
Proteomics,TIMSTOFFLEX_1,frequent,false
Proteomics,TIMSTOF_1,standard,true
Proteomics,TIMSTOF_1,frequent,false
Metabolomics,EXPLORIS_3,standard,true
Metabolomics,EXPLORIS_3,simple,false
Metabolomics,QEXACTIVEHF_2,standard,true
Metabolomics,QEXACTIVEHF_2,simple,false
Metabolomics,QUANTIVA_1,simple,true
Metabolomics,QUANTIVA_1,standard,false
Lipidomics,EXPLORIS_3,standard,true
Lipidomics,EXPLORIS_4,standard,true
