technology,instrument,methods_file,path_template
proteomics,ASTRAL_1,methods/proteomics/ASTRAL_1_methods.csv,D:\Data2San\p{container}\Proteomics\ASTRAL_1\{user}_{date}
proteomics,ASCEND_1,methods/proteomics/ASCEND_1_methods.csv,D:\Data2San\p{container}\Proteomics\ASCEND_1\{user}_{date}
proteomics,EXPLORIS_1,methods/proteomics/EXPLORIS_1_methods.csv,D:\Data2San\p{container}\Proteomics\EXPLORIS_1\{user}_{date}
proteomics,EXPLORIS_2,methods/proteomics/EXPLORIS_2_methods.csv,D:\Data2San\p{container}\Proteomics\EXPLORIS_2\{user}_{date}
proteomics,EXPLORIS_5,methods/proteomics/EXPLORIS_5_methods.csv,D:\Data2San\p{container}\Proteomics\EXPLORIS_5\{user}_{date}
proteomics,LUMOS_2,methods/proteomics/LUMOS_2_methods.csv,D:\Data2San\p{container}\Proteomics\LUMOS_2\{user}_{date}
proteomics,QEXACTIVE_1,methods/proteomics/QEXACTIVE_1_methods.csv,D:\Data2San\p{container}\Proteomics\QEXACTIVE_1\{user}_{date}
proteomics,TIMSTOFFLEX_1,methods/proteomics/TIMSTOFFLEX_1_methods.csv,D:\Data2San\p{container}\Proteomics\TIMSTOFFLEX_1\{user}_{date}
proteomics,TIMSTOF_1,methods/proteomics/TIMSTOF_1_methods.csv,D:\Data2San\p{container}\Proteomics\TIMSTOF_1\{user}_{date}
metabolomics,EXPLORIS_3,methods/metabolomics/EXPLORIS_3_methods.csv,D:\Data2San\p{container}\Metabolomics\EXPLORIS_3\{user}_{date}
metabolomics,QEXACTIVEHF_2,methods/metabolomics/QEXACTIVEHF_2_methods.csv,D:\Data2San\p{container}\Metabolomics\QEXACTIVEHF_2\{user}_{date}
metabolomics,QUANTIVA_1,methods/metabolomics/QUANTIVA_1_methods.csv,D:\Data2San\p{container}\Metabolomics\QUANTIVA_1\{user}_{date}
lipidomics,EXPLORIS_3,methods/lipidomics/EXPLORIS_3_methods.csv,D:\Data2San\p{container}\Lipidomics\EXPLORIS_3\{user}_{date}
lipidomics,EXPLORIS_4,methods/lipidomics/EXPLORIS_4_methods.csv,D:\Data2San\p{container}\Lipidomics\EXPLORIS_4\{user}_{date}
