method_id,method_type,method_name,method_path,acquisition_mode,spd,gradient_min,notes
autoQC01,qc,autoQC01,C:\Xcalibur\methods\__autoQC\trap\autoQC01,dda,,,Standard QC
autoQC03dda,qc,autoQC03dda,C:\Xcalibur\methods\__autoQC\trap\autoQC03dda,dda,,,DDA benchmark
autoQC03dia,qc,autoQC03dia,C:\Xcalibur\methods\__autoQC\trap\autoQC03dia,dia,,,DIA benchmark
clean,clean,general_clean,C:\Xcalibur\methods\_clean\general_clean,,,,Column cleaning
trap_clean,clean,trap_clean_RT15min,C:\Xcalibur\methods\_clean\trap_clean_RT15min,,,,Trap cleaning 15min
dda_universal,sample,DDA_Universal_OTIT,C:\Xcalibur\methods\M-class\DDA_Universal_OTIT,dda,,,Universal DDA OT-IT
dda_low_load,sample,DDA_low_Load,C:\Xcalibur\methods\M-class\DDA_low_Load,dda,,,Low sample load
dda_high_load,sample,DDA_high_load_OTOT,C:\Xcalibur\methods\M-class\DDA_high_load_OTOT,dda,,,High sample load OT-OT
dia_10mz,sample,DIA_10mz_355_1055,C:\Xcalibur\methods\M-class\DIA_10mz_355_1055,dia,,,Standard DIA 10mz windows
dia_gt60,sample,DIA_GT60_RT78_10mz_350_1050,C:\Xcalibur\methods\M-class\DIA_GT60_RT78_10mz_350_1050,dia,,,DIA 78min gradient
