instrument,sampler,output_format
ASTRAL_1,Vanquish.vial,xcalibur
ASTRAL_1,Vanquish.plate,xcalibur
ASTRAL_1,Evosep.vial,chronos
ASTRAL_1,Evosep.plate,chronos
ASCEND_1,MClass48.vial,xcalibur
ASCEND_1,MClass48.plate,xcalibur
EXPLORIS_1,Evosep.vial,chronos
EXPLORIS_1,MClass48.vial,xcalibur
EXPLORIS_2,Evosep.vial,chronos
EXPLORIS_2,Evosep.plate,chronos
EXPLORIS_2,MClass48.vial,xcalibur
EXPLORIS_2,MClass48.plate,xcalibur
EXPLORIS_3,Vanquish.vial,xcalibur
EXPLORIS_3,Vanquish.plate,xcalibur
EXPLORIS_4,Vanquish.vial,xcalibur
EXPLORIS_4,Vanquish.plate,xcalibur
EXPLORIS_5,Vanquish.vial,xcalibur
LUMOS_2,MClass48.vial,xcalibur
LUMOS_2,MClass48.plate,xcalibur
QEXACTIVE_1,MClass48.vial,xcalibur
QEXACTIVEHF_2,Vanquish.vial,xcalibur
QEXACTIVEHF_2,Vanquish.plate,xcalibur
QUANTIVA_1,Vanquish.vial,xcalibur
TIMSTOF_1,Evosep.vial,hystar
TIMSTOF_1,Evosep.plate,hystar
TIMSTOFFLEX_1,Evosep.vial,hystar
TIMSTOFFLEX_1,Evosep.plate,hystar
