sample_name,sample_id,container_id,position,grid_position,plate_id,tray,grouping_var
P001_A,210000,40011,1,A1,90010,Y,A
P002_A,210001,40011,2,A2,90010,Y,A
P003_A,210002,40011,3,A3,90010,Y,A
P004_A,210003,40011,4,A4,90010,Y,A
P005_A,210004,40011,5,A5,90010,Y,A
P011_B,210010,40011,6,A6,90010,Y,B
P012_B,210011,40011,7,A7,90010,Y,B
P013_B,210012,40011,8,A8,90010,Y,B
P014_B,210013,40011,9,A9,90010,Y,B
P015_B,210014,40011,10,A10,90010,Y,B
P021_C,210020,40011,11,A11,90010,Y,C
P022_C,210021,40011,12,A12,90010,Y,C
P023_C,210022,40011,13,B1,90010,Y,C
P024_C,210023,40011,14,B2,90010,Y,C
P025_C,210024,40011,15,B3,90010,Y,C
P031_D,210030,40011,16,B4,90010,Y,D
P032_D,210031,40011,17,B5,90010,Y,D
P033_D,210032,40011,18,B6,90010,Y,D
P034_D,210033,40011,19,B7,90010,Y,D
P035_D,210034,40011,20,B8,90010,Y,D
P041_E,210040,40011,21,B9,90010,Y,E
P042_E,210041,40011,22,B10,90010,Y,E
P043_E,210042,40011,23,B11,90010,Y,E
P044_E,210043,40011,24,B12,90010,Y,E
P045_E,210044,40011,25,C1,90010,Y,E
P051_F,210050,40011,26,C2,90010,Y,F
P052_F,210051,40011,27,C3,90010,Y,F
P053_F,210052,40011,28,C4,90010,Y,F
P054_F,210053,40011,29,C5,90010,Y,F
P055_F,210054,40011,30,C6,90010,Y,F
P061_G,210060,40011,31,C7,90010,Y,G
P062_G,210061,40011,32,C8,90010,Y,G
P063_G,210062,40011,33,C9,90010,Y,G
P064_G,210063,40011,34,C10,90010,Y,G
P065_G,210064,40011,35,C11,90010,Y,G
P071_H,210070,40011,36,C12,90010,Y,H
P072_H,210071,40011,37,D1,90010,Y,H
P073_H,210072,40011,38,D2,90010,Y,H
P074_H,210073,40011,39,D3,90010,Y,H
P075_H,210074,40011,40,D4,90010,Y,H
P006_A,210005,40011,1,A1,90011,R,A
P007_A,210006,40011,2,A2,90011,R,A
P008_A,210007,40011,3,A3,90011,R,A
P009_A,210008,40011,4,A4,90011,R,A
P010_A,210009,40011,5,A5,90011,R,A
P016_B,210015,40011,6,A6,90011,R,B
P017_B,210016,40011,7,A7,90011,R,B
P018_B,210017,40011,8,A8,90011,R,B
P019_B,210018,40011,9,A9,90011,R,B
P020_B,210019,40011,10,A10,90011,R,B
P026_C,210025,40011,11,A11,90011,R,C
P027_C,210026,40011,12,A12,90011,R,C
P028_C,210027,40011,13,B1,90011,R,C
P029_C,210028,40011,14,B2,90011,R,C
P030_C,210029,40011,15,B3,90011,R,C
P036_D,210035,40011,16,B4,90011,R,D
P037_D,210036,40011,17,B5,90011,R,D
P038_D,210037,40011,18,B6,90011,R,D
P039_D,210038,40011,19,B7,90011,R,D
P040_D,210039,40011,20,B8,90011,R,D
P046_E,210045,40011,21,B9,90011,R,E
P047_E,210046,40011,22,B10,90011,R,E
P048_E,210047,40011,23,B11,90011,R,E
P049_E,210048,40011,24,B12,90011,R,E
P050_E,210049,40011,25,C1,90011,R,E
P056_F,210055,40011,26,C2,90011,R,F
P057_F,210056,40011,27,C3,90011,R,F
P058_F,210057,40011,28,C4,90011,R,F
P059_F,210058,40011,29,C5,90011,R,F
P060_F,210059,40011,30,C6,90011,R,F
P066_G,210065,40011,31,C7,90011,R,G
P067_G,210066,40011,32,C8,90011,R,G
P068_G,210067,40011,33,C9,90011,R,G
P069_G,210068,40011,34,C10,90011,R,G
P070_G,210069,40011,35,C11,90011,R,G
P076_H,210075,40011,36,C12,90011,R,H
P077_H,210076,40011,37,D1,90011,R,H
P078_H,210077,40011,38,D2,90011,R,H
P079_H,210078,40011,39,D3,90011,R,H
P080_H,210079,40011,40,D4,90011,R,H
