sample_name,sample_id,container_id,grouping_var
P001_A,220000,40012,A
P002_A,220001,40012,A
P003_A,220002,40012,A
P004_A,220003,40012,A
P005_A,220004,40012,A
P006_A,220005,40012,A
P007_A,220006,40012,A
P008_A,220007,40012,A
P009_A,220008,40012,A
P010_A,220009,40012,A
P011_A,220010,40012,A
P012_A,220011,40012,A
P013_B,220012,40012,B
P014_B,220013,40012,B
P015_B,220014,40012,B
P016_B,220015,40012,B
P017_B,220016,40012,B
P018_B,220017,40012,B
P019_B,220018,40012,B
P020_B,220019,40012,B
P021_B,220020,40012,B
P022_B,220021,40012,B
P023_C,220022,40012,C
P024_C,220023,40012,C
P025_C,220024,40012,C
P026_C,220025,40012,C
P027_C,220026,40012,C
P028_C,220027,40012,C
P029_C,220028,40012,C
P030_C,220029,40012,C
P031_D,220030,40012,D
P032_D,220031,40012,D
P033_D,220032,40012,D
P034_D,220033,40012,D
P035_D,220034,40012,D
P036_D,220035,40012,D
P037_E,220036,40012,E
P038_E,220037,40012,E
P039_E,220038,40012,E
P040_E,220039,40012,E
P041_F,220040,40012,F
P042_F,220041,40012,F
