sample_name,sample_id,tube_id,container_id,grouping_var
S01_A,100001,40000/1,40000,A
S02_A,100002,40000/2,40000,A
S03_A,100003,40000/3,40000,A
S04_A,100004,40000/4,40000,A
S05_A,100005,40000/5,40000,A
S06_B,100006,40000/6,40000,B
S07_B,100007,40000/7,40000,B
S08_B,100008,40000/8,40000,B
S09_B,100009,40000/9,40000,B
S10_B,100010,40000/10,40000,B
S11_C,100011,40000/11,40000,C
S12_C,100012,40000/12,40000,C
S13_C,100013,40000/13,40000,C
S14_C,100014,40000/14,40000,C
S15_C,100015,40000/15,40000,C
S16_D,100016,40000/16,40000,D
S17_D,100017,40000/17,40000,D
S18_D,100018,40000/18,40000,D
S19_D,100019,40000/19,40000,D
S20_D,100020,40000/20,40000,D
S21_E,100021,40000/21,40000,E
S22_E,100022,40000/22,40000,E
S23_E,100023,40000/23,40000,E
S24_E,100024,40000/24,40000,E
S25_E,100025,40000/25,40000,E
